trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 1.0}",20,0,-187.96791872117655,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 3}",0
2,False,"{'a': 0.1, 'e': 0.99}",20,1,-72.83505221358118,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 2}",1
3,False,"{'a': 0.1, 'e': 0.9801}",30,0,-45.94776249906629,"{0: 21, 1: 6, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.970299}",35,0,-150.5791981575704,"{0: 17, 1: 5, 2: 12, 3: 1, 4: 0}",0
5,False,"{'a': 0.1, 'e': 0.96059601}",25,0,-180.8893187489557,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
6,False,"{'a': 0.1, 'e': 0.9509900498999999}",20,0,-158.32940399957053,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.1, 'e': 0.941480149401}",30,0,-129.67207366171775,"{0: 16, 1: 4, 2: 9, 3: 0, 4: 1}",0
8,False,"{'a': 0.1, 'e': 0.9320653479069899}",20,0,-58.946519538986514,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.1, 'e': 0.9227446944279201}",30,0,-97.93992134478695,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.1, 'e': 0.9135172474836408}",30,0,-69.33918605583125,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.9043820750088044}",25,0,-162.2582889282764,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.1, 'e': 0.8953382542587164}",20,0,-103.78354536174153,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.1, 'e': 0.8863848717161292}",20,0,-85.81997471514931,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.1, 'e': 0.8775210229989678}",20,3,-12.585603230170898,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
15,False,"{'a': 0.1, 'e': 0.8687458127689782}",25,0,-88.43196806115138,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
