trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,2,-113.02511508063813,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-24.253892344347165,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-189.94964808208678,"{0: 13, 1: 0, 2: 9, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-40.001429936169274,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,14,-2.4594148751411087,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.67069567277088,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.19437164801312,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.63960821710413,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-72.91741937883289,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.38975164275566,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,2,-118.83957125648963,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,8,-75.37578986895433,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.46256052942934,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-114.85088414821836,"{0: 15, 1: 4, 2: 11, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-145.55241243253056,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-25.87707346932864,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-113.9972277123943,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-216.36801159608433,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,4,-116.27920613052115,"{0: 8, 1: 0, 2: 5, 3: 2, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-175.64194620413565,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,16,-26.723381382079808,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-125.18394622228823,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-139.0444193802221,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-127.79880694425691,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-145.6010604692693,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-124.45640757344042,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,6,-69.80609715497872,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 1}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.8226134645766,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-95.2626409298736,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-142.9437706822092,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
